Numéro de l'amendement,Partie de l'amendement,Sort de l'amendement,Désignation de l'article,Délibération,Auteur,Cosignataire(s),Instance,Etape du texte,URL Amendement,URL Amendement format XML,Dispositif,Exposé sommaire
CE1034,,Adopté,Avant l'article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Voynet, Mme Pochon, Mme Belluco, M. Nicolas Bonnet, M. Thierry, Mme Ozenne, M. Biteau, M. Raux, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1034,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001034.xml,Compléter l’intitulé du chapitre IV par les mots :« par le loup ».,"Des craintes sont soulevées par de nombreuses associations engagées dans la protection de l’environnement et de la biodiversité quant au risque que les dispositions prévues à cet article débordent sur d’autres espèces telles que l’ours, le lynx voire le vautour qui n’est pourtant pas un prédateur. Le présent amendement vise alors à adapter l’intitulé du chapitre IV du présent projet de loi de loi afin qu’il reflète plus fidèlement son contenu et sa portée ici axés sur le loup uniquement."
CE1035,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pochon, Mme Voynet, M. Biteau, Mme Belluco, M. Nicolas Bonnet, Mme Ozenne, M. Raux, M. Thierry, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1035,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001035.xml,"À la fin de la dernière phrase de l’alinéa 3, substituer au mot : « régulièrement »,le mot : « annuellement ».","Cet amendement vise à préciser que l’estimation de la population lupine en France est actualisée annuellement. L’estimation du nombre de loups est essentielle, car elle permet de déterminer le bon état de conservation de l’espèce et l’ensemble des mesures de gestion qui en découlent. Dès lors, il convient de disposer des données mises à jour et de préciser dans la loi la fréquence d’actualisation de cette estimation, qui est d’ores et déjà menée chaque hiver par l’OFB."
CE1036,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pantel, Mme Rossi, Mme Allemand, Mme Thomin, M. Potier, M. Delautrette, M. Dufau, M. Eskenazi, M. Fégné, Mme Jourdan, M. Leseul, M. Barusseau et M. Roussel",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1036,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001036.xml,"Après l’alinéa 4, insérer l’alinéa suivant : « Un arrêté des ministres chargés de l’agriculture et de la protection de la nature précise les conditions de mise en cohérence et de valorisation des données issues des registres existants de suivi des tirs liés à la prédation. »","Cet amendement vise à améliorer la connaissance et le suivi des actions de gestion de la prédation à l’échelle nationale par la mise en place d’un outil dématérialisé visant à regrouper l’ensemble des données relatives aux tirs inscrites dans les registres obligatoires des exploitations.Dans un contexte de progression de la population de loups et de diffusion géographique de la prédation, la capacité des pouvoirs publics à disposer d’une vision précise, actualisée et partagée des attaques et des interventions constitue un enjeu central. L’absence d’outil de suivi structuré et harmonisé à l’échelle nationale peut aujourd’hui limiter l’efficacité de la réponse publique et la bonne coordination des acteurs concernés.La mise en place d’un registre national dématérialisé permettra ainsi de centraliser les données relatives au tirs inscrites dans les registres obligatoires de chaque exploitation, afin d’améliorer la réactivité des services de l’État, d’objectiver les situations locales et d’adapter plus finement les politiques publiques aux réalités du terrain."
CE1037,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1037,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001037.xml,"Après l’alinéa 4, insérer l’alinéa suivant : « L’arrêté précise les conditions dans lesquelles l’autorité administrative émet le récépissé de la déclaration de demande de tir de défense. À compter de la réception d’un dossier complet, ce délai ne peut excéder un jour ouvré. »","Cet amendement vise à renvoyer à la voie réglementaire les modalités d’instruction de la déclaration de demande de tir de défense que doit réaliser un éleveur confronté à la prédation lupine. L’amendement prévoit en outre que la récépissé de demande de tir, sans lequel les tirs de défense ne peuvent pas être réalisés, doit être envoyé au demandeur dans un délai d’un jour ouvré, à compter de la réception d’un dossier dûment rempli. "
CE1038,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1038,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001038.xml,"Après l’alinéa 4, insérer l’alinéa suivant : « Les attaques et dommages causés par le loup sont constatés sur place par un agent habilité ou par voie électronique. L’arrêté précise les conditions dans lesquelles le constat peut être réalisé par l’éleveur. »",Cet amendement prévoit que le constat de dommages dus à la prédation du loup puisse être réalisé de manière électronique. L’objectif est de permettre de réaliser les constats plus rapidement. Cette amélioration a pour effet de faciliter les démarches d’indemnisation. 
CE1039,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Bonnivard, M. Ray et M. Rolland",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1039,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001039.xml,"Rédiger l’alinéa 5 : « Un arrêté du ministre chargé de l’agriculture fixe, chaque année, le nombre de spécimens pouvant être prélevés à l’échelle nationale. Ce nombre de prélèvements peut être fixé en tenant compte du nombre minimal de spécimens compatible avec un état favorable de conservation. Dans ce cas, il correspond à la différence entre la population lupine observée et ce nombre minimal de spécimens. »","Le présent amendement propose de renverser la logique de gestion du loup en France. Actuellement, l’autorité administrative fixe chaque année un pourcentage de la population lupine pouvant être prélevée, dans l’objectif d’assurer la défense des élevages. L’arrêté du 23 février 2026 prévoit ainsi que 21 % de la population (estimée à 1 082 loups) peuvent être prélevés cette année (227 loups).Or l’application d’un pourcentage identique plusieurs années de suite, sur une population qui augmente chaque année, conduit mécaniquement à augmenter le nombre de loups présents sur le territoire (c’est-à-dire une population lupine qui dépasse le seuil permettant de maintenir le loup en bon état de conservation). Par conséquent, cet amendement ouvre au ministre de l’agriculture la possibilité de déterminer le pourcentage de loups pouvant être prélevés en se fondant sur la différence entre le nombre de loups présents en France, et le nombre minimal de loups à préserver pour que l’espèce reste en bon état de conservation."
CE1040,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1040,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001040.xml,"Après l’alinéa 5, insérer l’alinéa suivant : « L’arrêté précise les conditions dans lesquelles, lorsque le nombre maximal de loups pouvant être détruits est atteint avant la fin de l’année civile, et à la suite de dommages dus à la prédation constatés par le représentant de l’État dans le département, le préfet coordonnateur du plan national loup peut autoriser l’abattage de spécimens à titre dérogatoire, à l’échelle du département dans lequel ont été constatés les dommages et dans la limite d’un seuil assurant le maintien de l’espèce dans un état de conservation favorable. »","Cet amendement vise à inscrire dans la loi la possibilité de relever le nombre de loups pouvant être abattus si le nombre maximal de loups défini par l’arrêté est atteint avant la fin de l’année civile. La possibilité d’augmenter le seuil maximal de loups pouvant être abattus figure déjà dans l’arrêté du 23 février 2026. Cet amendement vise à lui conférer une définition légale qui conditionne ce relèvement : – Aux circonstances locales de la prédation. Aujourd’hui, la possibilité d’augmenter le nombre maximal de loups est fixée à l’échelle nationale par la préfète coordinatrice, dans le cas où le nombre est atteint avant la fin de l’année civile. Cet amendement vise à adapter le nombre de loups pouvant être abattus aux circonstances locales. Ainsi, quand le préfet d’un département situé dans un nouveau front de colonisation constatera une recrudescence de la prédation sur une ou plusieurs exploitations, il le signalera à la préfète coordinatrice qui pourra, afin de limiter ces dommages précis, relever le nombre de loups pouvant être abattus afin de remédier précisément à cette prédation. – Cette possibilité de dérogation reste strictement encadrée par le critère de maintien de l’espèce dans un état de conservation favorable. "
CE1041,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1041,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001041.xml,"Après l’alinéa 11, insérer les quatre alinéas suivants :« II bis. – Après l’article L. 427‑1, il est inséré un article L. 427‑1‑1 ainsi rédigé :« Art. L. 427‑1‑1. – Par dérogation aux dispositions mentionnées à l’article L. 123‑19‑1, les actes administratifs pris par le représentant de l’État dans le département sont dispensés de consultation préalable du public lorsqu’ils visent à autoriser l’intervention des lieutenants de louveterie, dès lors qu’elle vise à répondre à une situation d’urgence ou à prévenir des dommages graves causés aux activités agricoles ou forestières.« En application de l’alinéa précédent, un arrêté du représentant de l’État dans le département peut définir, pour une durée ne pouvant excéder une année civile, les conditions, communes et modalités d’intervention des lieutenants de louveterie.« Les autorisations prises par le représentant de l’État dans le département sur le fondement du présent article sont publiées sur le site internet de la préfecture. » »",Objet : dispenser de consultation préalable du public les autorisations d’intervention des louvetiers délivrées par les préfets. Cet amendement vise à dispenser de consultation du public préalable les arrêtés pris par les préfets pour autoriser l’intervention des lieutenants de louveterie. Cet amendement vise à rendre les procédures administratives plus rapides afin de les rendre plus efficaces pour les éleveurs. Cette dispense est strictement encadrée : Le préfet devra justifier une situation d'urgence ou de dommages graves causés aux activités agricoles ou forestières ; L'arrêté ne pourra pas durer plus d'une année civile et sera circonscrit aux communes particulièrement exposées et sur lesquelles ont été constatés des dommages.
CE1042,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,,Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1042,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001042.xml,"Après l’alinéa 14, insérer l’alinéa suivant : « III bis. – Les tirs d’effarouchement et de défense ne peuvent être interdits dans les espaces protégés mentionnés aux articles L. 331‑1, L. 332‑1 et L. 341‑1 du code de l’environnement, à l’exception des cœurs de parcs nationaux définis à l’article L. 331‑2 du même code. »","Cet amendement vise à remédier à l’inégalité à laquelle sont confrontés les éleveurs situés dans les Réserves naturelles et Parcs nationaux, en prévoyant d’autoriser les tirs d’effarouchement et de défense. L’amendement exclut cependant les cœurs de parcs nationaux, dont la réglementation peut interdire totalement la chasse et la destruction d’espèces."
CE1043,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur pour avis au nom de la commission du développement durable et de l'aménagement du territoire,"  Mme Pantel, M. Rousset, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry et M. Vuibert",Affaires économiques,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-ECO/CE1043,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419610B2632P0D1N001043.xml,"Après l’alinéa 11, insérer les trois alinéas suivants :« II bis. – L’article L. 427‑1 du même code est ainsi rédigé :« « Art. L. 427‑1. – L’activité de lieutenant de louveterie repose sur le bénévolat. Elle n’est pas exercée à titre professionnel mais dans les conditions fixées par les articles L. 427‑1 à L. 427‑2‑7 du présent code et par les textes pris pour l’application de ces dispositions.« « Les lieutenants de louveterie sont nommés par l’autorité administrative et concourent sous son contrôle à la destruction des animaux mentionnés aux articles L. 427‑6 et L. 427‑8 ou ponctuellement aux opérations de régulation des animaux qu’elle a ordonnées. Les lieutenants de louveterie sont assermentés au titre de la police de la chasse, et sont de fait des agents dépositaires d’une mission de service publique de police. Ils sont consultés, en tant que de besoin, par l’autorité compétente, sur les problèmes posés par la gestion de la faune sauvage. ». »","Cet amendement, issu du travail transpartisan conduit dans le cadre de la proposition de loi visant à créer un statut pour les lieutenants de louveterie déposée le 24 juin 2025, avec l'appui des Ministères de l'Agriculture et de la Transition écologique, vise à consacrer dans la loi le statut et les missions des lieutenants de louveterie lorsqu’ils interviennent pour le compte de l’État, en les adaptant aux enjeux actuels de gestion de la faune sauvage, et en particulier à la montée des phénomènes de prédation.Dans un contexte de progression de la population de certaines espèces, notamment du loup, et de recrudescence des dommages causés aux élevages, les interventions de régulation sont devenues un levier essentiel de protection des troupeaux. À cet égard, les lieutenants de louveterie jouent un rôle central aux côtés des services de l’État, en assurant, sous l’autorité du préfet, des missions de régulation indispensables à la protection des troupeaux. Les louvetiers interviennent également pour la sécurité sur les routes, ou encore en zones urbaines pour prévenir des risques sanitaires liés à certaines espèces. Leur engagement s’inscrit dans un contexte de transformation des équilibres agro-sylvo-cynégétiques, marqué par une diminution du nombre de chasseurs et une augmentation des sollicitations des services de l’État. Face à ces évolutions, leurs missions se sont intensifiées, tant en fréquence qu’en technicité, sans que leur statut n’ait été pleinement adapté.Le présent amendement propose ainsi de reconnaître dans la loi le caractère bénévole de leur engagement, aujourd’hui prévu uniquement par voie réglementaire, tout en rappelant qu’ils concourent, sous le contrôle de l’autorité administrative, à une mission de service public et d'interêt général. Il précise également leur rôle dans la mise en œuvre des opérations de régulation et leur contribution à l’expertise territoriale en matière de gestion de la faune sauvage. De cette manière, cet amendement souhaite répondre aux enjeux d'attractivité de ces missions indispensables face à la hausse des besoins. En consacrant dans la loi des pratiques déjà existantes, notamment leur rattachement à l’autorité préfectorale, leur rôle opérationnel et leur participation aux politiques de régulation, cet amendement vise donc à renforcer la lisibilité et l’efficacité des dispositifs, notamment de lutte contre la prédation. Il permet également une pratique harmonisée niveau national."
